Year,UNIT_MEASURE,Sex,Age,Value
1991,Number,Male,46,15996
1991,Number,Male,47,16545
1991,Number,Male,48,17336
1991,Number,Male,49,20005
1991,Number,Male,50,22366
1991,Number,Male,51,22985
1991,Number,Male,52,22073
1991,Number,Male,53,23390
1991,Number,Male,54,23260
1991,Number,Male,55,23457
1991,Number,Male,56,23161
1991,Number,Male,57,22409
1991,Number,Male,58,21197
1991,Number,Male,59,20574
1991,Number,Male,60,21178
1991,Number,Male,61,20078
1991,Number,Male,62,19542
1991,Number,Male,63,16668
1991,Number,Male,64,13925
1991,Number,Male,65,11854
1991,Number,Male,66,10384
1991,Number,Male,67,9513
1991,Number,Male,68,8489
1991,Number,Male,69,7556
1991,Number,Male,70,7330
1991,Number,Male,71,6868
1991,Number,Male,72,3278
1991,Number,Male,73,2779
1991,Number,Male,74,2530
1991,Number,Male,75,3042
1991,Number,Male,76,4594
1991,Number,Male,77,4065
1991,Number,Male,78,3921
1991,Number,Male,79,3454
1991,Number,Male,80,3395
1991,Number,Male,81,3035
1991,Number,Male,82,2295
1991,Number,Male,83,2148
1991,Number,Male,84,1741
1991,Number,Male,85,1384
1991,Number,Male,86,1126
1991,Number,Male,87,777
1991,Number,Male,88,655
1991,Number,Male,89,425
1991,Number,Male,90,430
1991,Number,Male,91,239
1991,Number,Male,92,122
1991,Number,Male,93,84
1991,Number,Male,94,52
1991,Number,Male,95,35
1991,Number,Male,96,29
1991,Number,Male,97,11
1991,Number,Male,98,22
1991,Number,Male,99,9
1991,Number,Male,100,4
1991,Number,Male,101,5
1991,Number,Male,102,1
1991,Number,Male,103,3
1991,Number,Male,104,1
1991,Number,Male,105,2
1991,Number,Male,106,0
1991,Number,Male,107,2
1991,Number,Male,108,2
1991,Number,Male,109,1
1991,Number,Male,110,0
1991,Number,Male,111,1
1991,Number,Male,112,1
1991,Number,Male,113,2
1991,Number,Male,114,0
1991,Number,Male,115,1
1991,Number,Male,116,1
1991,Number,Male,117,0
1991,Number,Male,118,0
1991,Number,Male,119,0
1991,Number,Male,120,0
1991,Number,Male,Unknown,33305
1991,Number,Male,Total,2040777
2013,Number,Male,0,16903
2013,Number,Male,1,17554
2013,Number,Male,2,17702
2013,Number,Male,3,18414
2013,Number,Male,4,18869
2013,Number,Male,5,18628
2013,Number,Male,6,17919
2013,Number,Male,7,17840
2013,Number,Male,8,18233
2013,Number,Male,9,18261
2013,Number,Male,10,18852
2013,Number,Male,11,18927
2013,Number,Male,12,19792
2013,Number,Male,13,20142
2013,Number,Male,14,20940
2013,Number,Male,15,23451
2013,Number,Male,16,26860
2013,Number,Male,17,26386
2013,Number,Male,18,25720
2013,Number,Male,19,22483
2013,Number,Male,20,20046
2013,Number,Male,21,22471
