Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,0-4,Žene,Foča - FBIH,35
2013,Broj,0-4,Žene,Foča - RS,277
2013,Broj,0-4,Žene,Fojnica,263
2013,Broj,0-4,Žene,Gacko,213
2013,Broj,0-4,Žene,Glamoč,68
2013,Broj,0-4,Žene,Goražde,465
2013,Broj,0-4,Žene,Gornji Vakuf-Uskoplje,513
2013,Broj,0-4,Žene,Gračanica,1324
2013,Broj,0-4,Žene,Gradačac,1040
2013,Broj,0-4,Žene,Gradiška,1048
2013,Broj,0-4,Žene,Grude,396
2013,Broj,0-4,Žene,Sarajevo - Hadžići,698
2013,Broj,0-4,Žene,Han Pijesak,62
2013,Broj,0-4,Žene,Sarajevo - Ilidža,1902
2013,Broj,0-4,Žene,Sarajevo - Ilijaš,529
2013,Broj,0-4,Žene,Istočna Ilidža,307
2013,Broj,0-4,Žene,Istočni Mostar,3
2013,Broj,0-4,Žene,Istočni Stari Grad,17
2013,Broj,0-4,Žene,Istočno Novo Sarajevo,325
2013,Broj,0-4,Žene,Jablanica,209
2013,Broj,0-4,Žene,Jajce,639
2013,Broj,0-4,Žene,Jezero,22
2013,Broj,0-4,Žene,Kakanj,972
2013,Broj,0-4,Žene,Kalesija,905
2013,Broj,0-4,Žene,Kalinovik,27
2013,Broj,0-4,Žene,Kiseljak,551
2013,Broj,0-4,Žene,Kladanj,270
2013,Broj,0-4,Žene,Ključ,357
2013,Broj,0-4,Žene,Kneževo,193
2013,Broj,0-4,Žene,Konjic,530
2013,Broj,0-4,Žene,Kostajnica,119
2013,Broj,0-4,Žene,Kotor Varoš,444
2013,Broj,0-4,Žene,Kozarska Dubica,392
2013,Broj,0-4,Žene,Kreševo,113
2013,Broj,0-4,Žene,Krupa Na Uni,22
