Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,0-4,Жене,Gračanica,1324
2013,Број,0-4,Жене,Gradačac,1040
2013,Број,0-4,Жене,Gradiška,1048
2013,Број,0-4,Жене,Grude,396
2013,Број,0-4,Жене,Sarajevo - Hadžići,698
2013,Број,0-4,Жене,Han Pijesak,62
2013,Број,0-4,Жене,Sarajevo - Ilidža,1902
2013,Број,0-4,Жене,Sarajevo - Ilijaš,529
2013,Број,0-4,Жене,Istočna Ilidža,307
2013,Број,0-4,Жене,Istočni Mostar,3
2013,Број,0-4,Жене,Istočni Stari Grad,17
2013,Број,0-4,Жене,Istočno Novo Sarajevo,325
2013,Број,0-4,Жене,Jablanica,209
2013,Број,0-4,Жене,Jajce,639
2013,Број,0-4,Жене,Jezero,22
2013,Број,0-4,Жене,Kakanj,972
2013,Број,0-4,Жене,Kalesija,905
2013,Број,0-4,Жене,Kalinovik,27
2013,Број,0-4,Жене,Kiseljak,551
2013,Број,0-4,Жене,Kladanj,270
2013,Број,0-4,Жене,Ključ,357
2013,Број,0-4,Жене,Kneževo,193
2013,Број,0-4,Жене,Konjic,530
2013,Број,0-4,Жене,Kostajnica,119
2013,Број,0-4,Жене,Kotor Varoš,444
2013,Број,0-4,Жене,Kozarska Dubica,392
2013,Број,0-4,Жене,Kreševo,113
2013,Број,0-4,Жене,Krupa Na Uni,22
2013,Број,0-4,Жене,Kupres - FBIH,78
2013,Број,0-4,Жене,Laktaši,832
2013,Број,0-4,Жене,Livno,648
2013,Број,0-4,Жене,Lopare,262
2013,Број,0-4,Жене,Lukavac,949
2013,Број,0-4,Жене,Ljubinje,82
2013,Број,0-4,Жене,Ljubuški,669
2013,Број,0-4,Жене,Maglaj,582
2013,Број,0-4,Жене,Milići,242
2013,Број,0-4,Жене,Modriča,487
2013,Број,0-4,Жене,Mostar,2585
2013,Број,0-4,Жене,Mrkonjić Grad,344
2013,Број,0-4,Жене,Neum,101
2013,Број,0-4,Жене,Nevesinje,260
2013,Број,0-4,Жене,Novi Grad,485
2013,Број,0-4,Жене,Sarajevo - Novi Grad,3266
2013,Број,0-4,Жене,Novi Travnik,633
2013,Број,0-4,Жене,Novo Goražde,53
2013,Број,0-4,Жене,Sarajevo - Novo Sarajevo,1650
2013,Број,0-4,Жене,Odžak,349
2013,Број,0-4,Жене,Olovo,193
2013,Број,0-4,Жене,Orašje,357
2013,Број,0-4,Жене,Osmaci,127
2013,Број,0-4,Жене,Oštra Luka,52
