Year,UNIT_MEASURE,SPOL,AGE,Entitet,Value
2013,Broj,Oba spola,6,Brčko Distrikt BiH,917
2013,Broj,Oba spola,7,Brčko Distrikt BiH,822
2013,Broj,Oba spola,8,Brčko Distrikt BiH,865
2013,Broj,Oba spola,9,Brčko Distrikt BiH,857
2013,Broj,Oba spola,10,Brčko Distrikt BiH,922
2013,Broj,Oba spola,11,Brčko Distrikt BiH,876
2013,Broj,Oba spola,12,Brčko Distrikt BiH,944
2013,Broj,Oba spola,13,Brčko Distrikt BiH,933
2013,Broj,Oba spola,14,Brčko Distrikt BiH,929
2013,Broj,Oba spola,15,Brčko Distrikt BiH,1072
2013,Broj,Oba spola,16,Brčko Distrikt BiH,1169
2013,Broj,Oba spola,17,Brčko Distrikt BiH,1113
2013,Broj,Oba spola,18,Brčko Distrikt BiH,1013
2013,Broj,Oba spola,19,Brčko Distrikt BiH,956
2013,Broj,Oba spola,20,Brčko Distrikt BiH,826
2013,Broj,Oba spola,21,Brčko Distrikt BiH,989
2013,Broj,Oba spola,22,Brčko Distrikt BiH,1056
2013,Broj,Oba spola,23,Brčko Distrikt BiH,1047
2013,Broj,Oba spola,24,Brčko Distrikt BiH,1018
2013,Broj,Oba spola,25,Brčko Distrikt BiH,1103
2013,Broj,Oba spola,26,Brčko Distrikt BiH,1113
2013,Broj,Oba spola,27,Brčko Distrikt BiH,1054
2013,Broj,Oba spola,28,Brčko Distrikt BiH,1235
2013,Broj,Oba spola,29,Brčko Distrikt BiH,1224
2013,Broj,Oba spola,30,Brčko Distrikt BiH,1230
2013,Broj,Oba spola,31,Brčko Distrikt BiH,1253
2013,Broj,Oba spola,32,Brčko Distrikt BiH,1154
2013,Broj,Oba spola,33,Brčko Distrikt BiH,1196
2013,Broj,Oba spola,34,Brčko Distrikt BiH,1158
2013,Broj,Oba spola,35,Brčko Distrikt BiH,1205
