Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2045,F,25-29,54576.67
2021,2045,F,30-34,56720.80
2021,2045,F,35-39,62013.76
2021,2045,F,40-44,63161.78
2021,2045,F,45-49,79931.68
2021,2045,F,50-54,88372.51
2021,2045,F,55-59,102335.78
2021,2045,F,60-64,110429.39
2021,2045,F,65-69,109977.84
2021,2045,F,70-74,104215.59
2021,2045,F,75-79,94632.17
2021,2045,F,80-84,84154.83
2021,2045,F,85-89,56786.96
2021,2045,F,90-94,27381.16
2021,2045,F,95-99,7834.02
2021,2045,F,100-104,1058.11
2021,2045,F,105-109,118.09
2021,2045,F,110-114,3.39
2021,2045,F,115-119,0.03
2021,2045,F,120+,0.00
2021,2050,F,0-4,36657.91
2021,2050,F,5-9,39542.52
2021,2050,F,10-14,43160.91
2021,2050,F,15-19,47139.04
2021,2050,F,20-24,48886.11
2021,2050,F,25-29,49772.43
2021,2050,F,30-34,51263.86
2021,2050,F,35-39,54713.04
2021,2050,F,40-44,60437.55
2021,2050,F,45-49,61966.54
2021,2050,F,50-54,78798.89
2021,2050,F,55-59,87373.62
2021,2050,F,60-64,100786.78
2021,2050,F,65-69,107287.32
2021,2050,F,70-74,103626.02
2021,2050,F,75-79,93592.97
2021,2050,F,80-84,77887.68
2021,2050,F,85-89,59946.00
2021,2050,F,90-94,32126.24
2021,2050,F,95-99,10858.60
2021,2050,F,100-104,1936.83
2021,2050,F,105-109,132.83
2021,2050,F,110-114,6.29
2021,2050,F,115-119,0.08
2021,2050,F,120+,0.00
2021,2055,F,0-4,33211.05
2021,2055,F,5-9,35951.68
2021,2055,F,10-14,39227.14
2021,2055,F,15-19,42171.20
2021,2055,F,20-24,43003.30
2021,2055,F,25-29,43862.08
2021,2055,F,30-34,46743.65
2021,2055,F,35-39,49448.95
2021,2055,F,40-44,53365.61
2021,2055,F,45-49,59214.32
2021,2055,F,50-54,61318.14
2021,2055,F,55-59,77985.02
2021,2055,F,60-64,86255.38
2021,2055,F,65-69,98112.93
2021,2055,F,70-74,101451.69
2021,2055,F,75-79,93700.65
2021,2055,F,80-84,78148.67
2021,2055,F,85-89,56666.08
2021,2055,F,90-94,35024.67
2021,2055,F,95-99,13368.38
2021,2055,F,100-104,2848.11
2021,2055,F,105-109,265.10
2021,2055,F,110-114,7.36
2021,2055,F,115-119,0.15
2021,2055,F,120+,0.00
2021,2060,F,0-4,29883.71
2021,2060,F,5-9,32567.29
2021,2060,F,10-14,35654.63
2021,2060,F,15-19,38319.62
2021,2060,F,20-24,38492.35
2021,2060,F,25-29,38631.43
2021,2060,F,30-34,41237.00
2021,2060,F,35-39,45078.16
2021,2060,F,40-44,48236.61
2021,2060,F,45-49,52329.73
2021,2060,F,50-54,58537.31
2021,2060,F,55-59,60916.97
2021,2060,F,60-64,77079.70
2021,2060,F,65-69,84202.12
2021,2060,F,70-74,93092.13
2021,2060,F,75-79,92307.31
2021,2060,F,80-84,79099.10
2021,2060,F,85-89,58107.51
2021,2060,F,90-94,34065.77
2021,2060,F,95-99,15167.82
2021,2060,F,100-104,3692.61
2021,2060,F,105-109,410.17
2021,2060,F,110-114,15.59
2021,2060,F,115-119,0.18
2021,2060,F,120+,0.00
2021,2065,F,0-4,26774.95
2021,2065,F,5-9,29310.58
2021,2065,F,10-14,32296.94
2021,2065,F,15-19,34824.48
2021,2065,F,20-24,34972.34
2021,2065,F,25-29,34596.83
2021,2065,F,30-34,36361.76
2021,2065,F,35-39,39804.99
2021,2065,F,40-44,43967.98
2021,2065,F,45-49,47309.75
2021,2065,F,50-54,51780.51
2021,2065,F,55-59,58121.28
2021,2065,F,60-64,60456.15
2021,2065,F,65-69,75363.93
2021,2065,F,70-74,80209.19
2021,2065,F,75-79,85191.60
2021,2065,F,80-84,78733.19
2021,2065,F,85-89,59842.88
2021,2065,F,90-94,36053.22
2021,2065,F,95-99,15296.92
2021,2065,F,100-104,4377.00
2021,2065,F,105-109,558.43
2021,2065,F,110-114,24.90
2021,2065,F,115-119,0.39
2021,2065,F,120+,0.00
2021,2070,F,0-4,24113.42
2021,2070,F,5-9,26273.04
2021,2070,F,10-14,29076.75
2021,2070,F,15-19,31546.56
2021,2070,F,20-24,31780.47
2021,2070,F,25-29,31431.30
2021,2070,F,30-34,32581.20
2021,2070,F,35-39,35135.92
2021,2070,F,40-44,38862.94
