Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Čelinac,Oba spola,0-4,769
2013,Broj,Čelinac,Muškarci,0-4,399
2013,Broj,Čelinac,Žene,0-4,370
2013,Broj,Čitluk,Oba spola,0-4,1002
2013,Broj,Čitluk,Muškarci,0-4,480
2013,Broj,Čitluk,Žene,0-4,522
2013,Broj,Derventa,Oba spola,0-4,1170
2013,Broj,Derventa,Muškarci,0-4,580
2013,Broj,Derventa,Žene,0-4,590
2013,Broj,Doboj,Oba spola,0-4,3330
2013,Broj,Doboj,Muškarci,0-4,1695
2013,Broj,Doboj,Žene,0-4,1635
2013,Broj,Doboj-Istok,Oba spola,0-4,541
2013,Broj,Doboj-Istok,Muškarci,0-4,292
2013,Broj,Doboj-Istok,Žene,0-4,249
2013,Broj,Doboj-Jug,Oba spola,0-4,235
2013,Broj,Doboj-Jug,Muškarci,0-4,120
2013,Broj,Doboj-Jug,Žene,0-4,115
2013,Broj,Dobretići,Oba spola,0-4,30
2013,Broj,Dobretići,Muškarci,0-4,18
2013,Broj,Dobretići,Žene,0-4,12
2013,Broj,Domaljevac-Šamac,Oba spola,0-4,163
2013,Broj,Domaljevac-Šamac,Muškarci,0-4,89
2013,Broj,Domaljevac-Šamac,Žene,0-4,74
2013,Broj,Donji Vakuf,Oba spola,0-4,680
2013,Broj,Donji Vakuf,Muškarci,0-4,338
2013,Broj,Donji Vakuf,Žene,0-4,342
2013,Broj,Donji Žabar,Oba spola,0-4,145
2013,Broj,Donji Žabar,Muškarci,0-4,70
2013,Broj,Donji Žabar,Žene,0-4,75
2013,Broj,Drvar,Oba spola,0-4,210
2013,Broj,Drvar,Muškarci,0-4,106
2013,Broj,Drvar,Žene,0-4,104
2013,Broj,Foča - FBiH,Oba spola,0-4,85
2013,Broj,Foča - FBiH,Muškarci,0-4,50
2013,Broj,Foča - FBiH,Žene,0-4,35
2013,Broj,Foča - RS,Oba spola,0-4,644
2013,Broj,Foča - RS,Muškarci,0-4,367
2013,Broj,Foča - RS,Žene,0-4,277
2013,Broj,Fojnica,Oba spola,0-4,557
2013,Broj,Fojnica,Muškarci,0-4,294
2013,Broj,Fojnica,Žene,0-4,263
2013,Broj,Gacko,Oba spola,0-4,419
2013,Broj,Gacko,Muškarci,0-4,206
2013,Broj,Gacko,Žene,0-4,213
2013,Broj,Glamoč,Oba spola,0-4,145
2013,Broj,Glamoč,Muškarci,0-4,77
2013,Broj,Glamoč,Žene,0-4,68
2013,Broj,Goražde,Oba spola,0-4,978
2013,Broj,Goražde,Muškarci,0-4,513
2013,Broj,Goražde,Žene,0-4,465
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,0-4,1072
2013,Broj,Gornji Vakuf-Uskoplje,Muškarci,0-4,559
2013,Broj,Gornji Vakuf-Uskoplje,Žene,0-4,513
2013,Broj,Gračanica,Oba spola,0-4,2600
2013,Broj,Gračanica,Muškarci,0-4,1276
